"contrast","metabolite","genotype","beta","se","numDF","denDF","F.value","p.value","lowerCL","upperCL","p.adjustBH","sig"
"Exercise","3-HYDROXYBUTYRIC","WT",3.60394890601434,0.675845145356317,1,38,28.4356299185579,4.6797284329047e-06,2.27931676198972,4.92858105003896,0.000140391852987141,TRUE
"Exercise","arginine","WT",-1.53179810224871,0.657267178356182,1,38,5.43149223450629,0.0251847529735606,-2.82001810004709,-0.243578104450331,0.125923764867803,FALSE
"Exercise","CITRIC","WT",0.826397714046784,0.675929605097504,1,38,1.49477311231535,0.229006367382462,-0.498399968028706,2.15119539612227,0.456505128900929,FALSE
"Exercise","FUMARIC","WT",0.0815773730347022,0.675838901301758,1,38,0.0145697822006831,0.904560407941827,-1.24304253286786,1.40619727893727,0.935752146146717,FALSE
"Exercise","glutamine","WT",-0.778724459550126,0.657284482714742,1,38,1.40365660299287,0.243469402080496,-2.06697837326806,0.509529454167808,0.456505128900929,FALSE
"Exercise","isoleucine","WT",-0.0825500587470223,0.657250042942235,1,38,0.0157751510731947,0.900711380660693,-1.37073647175121,1.20563635425716,0.935752146146717,FALSE
"Exercise","LACTIC","WT",0.14594931482949,0.67588364018158,1,38,0.0466294456188173,0.83019063321155,-1.17875827766624,1.47065690732521,0.935115242964901,FALSE
"Exercise","LCAC total","WT",-0.814477530757101,0.65728522661884,1,38,1.53550230787469,0.222887766404756,-2.10273290250027,0.473777840986072,0.456505128900929,FALSE
"Exercise","leucine","WT",-0.992520785843212,0.657303122282987,1,38,2.28006816550138,0.139317345119631,-2.28081123244359,0.295769660757169,0.417952035358894,FALSE
"Exercise","MALIC","WT",1.43962671179763,0.675994260577136,1,38,4.5353809879871,0.0397380875794492,0.114702307310657,2.7645511162846,0.170306089626211,FALSE
"Exercise","MCAC Total","WT",-0.876639797069652,0.657244932306107,1,38,1.77904884785629,0.190205873451877,-2.16481619341109,0.411536599271784,0.456505128900929,FALSE
"Exercise","METHYLSUCCINIC","WT",-0.527596176071317,0.675901352487094,1,38,0.609307673304372,0.439884261654949,-1.85233848404793,0.797146131905299,0.685011651051562,FALSE
"Exercise","PYRUVIC_P2P","WT",0.376800746901217,0.708406754277177,1,38,0.282916400099789,0.597892233793076,-1.01165097788697,1.7652524716894,0.779859435382273,FALSE
"Exercise","SUCCINIC-2","WT",-0.536947649904852,0.67596055438694,1,38,0.630988123334737,0.431926185468832,-1.86180599147298,0.787910691663278,0.685011651051562,FALSE
"Exercise","valine","WT",0.445171908006989,0.657310456195237,1,38,0.45868487548366,0.502341877437813,-0.843132912797269,1.73347672881125,0.685011651051562,FALSE
"Exercise","3-HYDROXYBUTYRIC","KO",0.451595651201445,0.552128705667522,1,38,0.668988801513161,0.418503702938755,-0.630556726737615,1.5337480291405,0.685011651051562,FALSE
"Exercise","arginine","KO",-1.06027672538299,0.539437930542176,1,38,3.86327385595459,0.0566934252692098,-2.11755564114047,-0.00299780962550744,0.212600344759537,FALSE
"Exercise","CITRIC","KO",0.228111511045663,0.631646398156405,1,38,0.130420648306899,0.719996425369729,-1.00989268030534,1.46611570239666,0.863995710443674,FALSE
"Exercise","FUMARIC","KO",-0.432043561675096,0.614301021620873,1,38,0.494643834467696,0.486150157105651,-1.63605143971817,0.771964316367977,0.685011651051562,FALSE
"Exercise","glutamine","KO",-1.06792517859103,0.596202271892066,1,38,3.20844352194747,0.0812268203506899,-2.23646015900044,0.100609801818379,0.270756067835633,FALSE
"Exercise","isoleucine","KO",0.390722776313059,0.576824175985201,1,38,0.458828670682771,0.502275291998016,-0.73983183402993,1.52127738665605,0.685011651051562,FALSE
"Exercise","LACTIC","KO",-0.236985368006315,0.608196974568289,1,38,0.151828937975661,0.698969013540937,-1.42902953366638,0.955058797653754,0.863995710443674,FALSE
"Exercise","LCAC total","KO",-0.120245088276233,0.597595238971373,1,38,0.0404874508147465,0.841603718668411,-1.29151023399273,1.05102005744026,0.935115242964901,FALSE
"Exercise","leucine","KO",2.56560059592244,0.592783807526827,1,38,18.7320553202375,0.000105465328486087,1.40376568255134,3.72743550929355,0.000790989963645652,TRUE
"Exercise","MALIC","KO",0.727214836382652,0.584513731688288,1,38,1.54787549457033,0.221069144995198,-0.4184110261955,1.8728406989608,0.456505128900929,FALSE
"Exercise","MCAC Total","KO",-1.59751125231211,0.604498133846089,1,38,6.98389856110134,0.0118800078303983,-2.78230582337212,-0.412716681252105,0.07128004698239,FALSE
"Exercise","METHYLSUCCINIC","KO",-0.00996669418190594,0.621700357931544,1,38,0.000257004087350287,0.987293260871496,-1.22847700490339,1.20854361653958,0.987293260871496,FALSE
"Exercise","PYRUVIC_P2P","KO",0.947389454753128,0.719522467546202,1,38,1.7336777420342,0.195828053022642,-0.462848667704818,2.35762757721107,0.456505128900929,FALSE
"Exercise","SUCCINIC-2","KO",-2.82806665414236,0.579981912454729,1,38,23.7766345517233,1.95345452943497e-05,-3.96481031423829,-1.69132299404643,0.000293018179415246,TRUE
"Exercise","valine","KO",2.89245972605106,0.625737552467261,1,38,21.367327327014,4.28522707925031e-05,1.66603665944099,4.11888279266113,0.000428522707925031,TRUE
