"contrast","metabolite","genotype","beta","se","denDF","lowerCL","upperCL","t","p.value","p.adjustBH","sig"
"C7","2methylbutyrylcarnitine","KO",1.04164253102911,1.1157978976593,40,-1.14528116240863,3.22856622446684,0.933540503360191,0.254861637838678,0.39502610684105,FALSE
"C7","3HMG","KO",-0.0937868293819862,1.11656248908807,40,-2.28220909448299,2.09463543571902,-0.0839960416891535,0.39502610684105,0.39502610684105,FALSE
"C7","acetylcarnitine","KO",0.721735343766011,1.09218575163463,40,-1.41890939386568,2.8623800813977,0.660817395471253,0.317342575213969,0.39502610684105,FALSE
"C7","butyrylcarnitine","KO",0.799765121282641,1.11576373150043,40,-1.38709160771422,2.9866218502795,0.716787164435928,0.305188591528377,0.39502610684105,FALSE
"C7","C101total","KO",0.118855404309925,1.09209968759181,40,-2.02162065089748,2.25933145951733,0.108832010173002,0.394057972416588,0.39502610684105,FALSE
"C7","C12","KO",2.83580547824159,1.11723121046079,40,0.64607254333435,5.02553841314883,2.538244055205,0.0185618466754773,0.06806010447675,FALSE
"C7","C141total","KO",3.46376373448213,1.09243602916262,40,1.32262846190944,5.60489900705481,3.17067877845185,0.00400011290209513,0.0220006209615232,TRUE
"C7","C142total","KO",2.53300092476128,1.09230599037881,40,0.39212052352146,4.67388132600111,2.3189481217464,0.0298669061618547,0.0821339919451003,FALSE
"C7","C151total","KO",9.43512892545215,1.09440358880728,40,7.2901373068385,11.5801205440658,8.62125181418208,1.77196233223065e-10,1.29943904363581e-09,TRUE
"C7","C161total","KO",1.56613633035259,1.09397692083481,40,-0.578019034401663,3.71029169510683,1.43159905892482,0.142342241467305,0.347947701364523,FALSE
"C7","C171total","KO",23.8236138898669,1.09262336874161,40,21.6821114384665,25.9651163412672,21.8040493837368,6.93711861948418e-24,7.6308304814326e-23,TRUE
"C7","C181total","KO",-2.69885064316754,1.09437561867278,40,-4.84378744132493,-0.553913845010157,-2.46610998739228,0.0217817131392962,0.0684568127235025,FALSE
"C7","C182total","KO",0.630898245111628,1.0933012976054,40,-1.51193292244585,2.77372941266911,0.577057986205132,0.334492157829487,0.39502610684105,FALSE
"C7","C191total","KO",75.669131801559,1.09482281613979,40,73.5233185124723,77.8149450906457,69.1154136414138,8.78243070849426e-44,1.93213475586874e-42,TRUE
"C7","carnitine","KO",0.469322771438582,1.11707864287172,40,-1.72011113648887,2.65875667936604,0.420134047350573,0.362238810603181,0.39502610684105,FALSE
"C7","ethylmalonylcarnitine","KO",0.219464354076207,1.11551824204157,40,-1.96691122442271,2.40583993257512,0.196737575240861,0.388673760526907,0.39502610684105,FALSE
"C7","isobutyrylcarnitine","KO",0.232446031670032,1.11792594005945,40,-1.95864854822958,2.42354061156964,0.207926145499111,0.387773848392495,0.39502610684105,FALSE
"C7","methylsuccinylcarnitine","KO",0.160772854822396,1.14277223910897,40,-2.07901957636338,2.40056528600817,0.140686699694203,0.392456664453825,0.39502610684105,FALSE
"C7","ndecanoylcarnitine","KO",3.11148517174137,1.12077113300441,40,0.914814116140576,5.30815622734216,2.77620031433226,0.0107013569280817,0.0470859704835595,TRUE
"C7","nhexanoylcarnitine","KO",0.242651244890301,1.091052968305,40,-1.89577327821302,2.38107576799362,0.22240097588229,0.386539353067675,0.39502610684105,FALSE
"C7","noctanoylcarnitine","KO",0.445245804658275,1.11780417030451,40,-1.74561011090724,2.63610172022379,0.398321831754288,0.365554303699069,0.39502610684105,FALSE
"C7","propionylcarnitine","KO",0.822858795893805,1.14284231109861,40,-1.41707097386799,3.0627885656556,0.720010790554992,0.304474216762452,0.39502610684105,FALSE
