"contrast","metabolite","genotype","beta","se","denDF","lowerCL","upperCL","t","p.value","p.adjustBH","sig"
"C7","alaninesarcosine","KO",-0.75307387420263,0.917451919346834,40,-2.55124659366957,1.04509884526431,-0.820831978572533,0.281501757617427,0.394925030633044,FALSE
"C7","arginine","KO",0.26261822821776,0.914939884878197,40,-1.53063099416273,2.05586745059825,0.287033315038749,0.380081957674617,0.394925030633044,FALSE
"C7","asparagine","KO",0.107701277209883,0.921512921511366,40,-1.69843086024068,1.91383341466045,0.11687440804763,0.393691667212686,0.394925030633044,FALSE
"C7","AsparticAcid","KO",1.53575480363821,0.91690546646722,40,-0.261346887865443,3.33285649514186,1.67493254190683,0.0987883108513469,0.394925030633044,FALSE
"C7","CITRIC","KO",0.324947043065236,0.963800837052083,40,-1.5640678858264,2.21396197195687,0.337151650603595,0.374051507217087,0.394925030633044,FALSE
"C7","FUMARIC","KO",-1.65952406756334,0.961965994587939,40,-3.54494277130795,0.225894636181273,-1.72513797462685,0.0910483510525433,0.394925030633044,FALSE
"C7","glutamic","KO",0.758038171993759,0.914251648189909,40,-1.03386213126485,2.54993847525236,0.829135144021418,0.279565031637316,0.394925030633044,FALSE
"C7","glutamine","KO",-0.899051856753503,0.917400271691879,40,-2.69712334867685,0.899019635169841,-0.979999553625008,0.243758710399582,0.394925030633044,FALSE
"C7","glycine","KO",-0.343217545705379,0.917525471122446,40,-2.14153442400352,1.45509933259276,-0.374068684202856,0.369067573886789,0.394925030633044,FALSE
"C7","histidine","KO",0.431434752127591,0.921344654558966,40,-1.37436758815648,2.23723709241166,0.468266408224958,0.354424965524298,0.394925030633044,FALSE
"C7","isoleucine","KO",-0.855664778610719,0.908747242369831,40,-2.63677664470568,0.92544708748424,-0.941587207878966,0.252940473594279,0.394925030633044,FALSE
"C7","LACTIC","KO",-1.03397144356904,0.944215547664163,40,-2.88459991063356,0.816657023495485,-1.09505869303563,0.216379352665399,0.394925030633044,FALSE
"C7","leucine","KO",-1.6231960587119,0.926579323517621,40,-3.43925816162592,0.192866044202126,-1.75181554078897,0.0871118205521817,0.394925030633044,FALSE
"C7","lysine","KO",-0.383199484168972,0.92073062761919,40,-2.18779835376554,1.4213993854276,-0.416190656283307,0.362848915736698,0.394925030633044,FALSE
"C7","MALIC","KO",0.0837599185759184,0.963665059189876,40,-1.8049888905959,1.97250872774773,0.0869180819384827,0.394925030633044,0.394925030633044,FALSE
"C7","methionine","KO",0.769049530599425,0.895956386376859,40,-0.986992718417872,2.52509177961672,0.858355989524635,0.272709093920644,0.394925030633044,FALSE
"C7","METHYLSUCCINIC","KO",-0.566075548788024,0.974009075357312,40,-2.47509825710352,1.34294715952747,-0.581180979838777,0.333681313422555,0.394925030633044,FALSE
"C7","Phenylalanine","KO",-1.02367951261896,0.921102009298697,40,-2.82900627693188,0.781647251693967,-1.11136389051888,0.212542042513989,0.394925030633044,FALSE
"C7","serine","KO",0.763230574888512,0.90600067751129,40,-1.0124981230025,2.53895927277953,0.842417223114054,0.276456054315523,0.394925030633044,FALSE
"C7","SUCCINIC2","KO",1.10323915152534,0.941614045298194,40,-0.742290464596185,2.94876876764687,1.17164687276512,0.198508670721206,0.394925030633044,FALSE
"C7","threonine","KO",7.17201544214525,0.894129537521408,40,5.41955375108984,8.92447713320067,8.02122638966453,1.15392492638591e-09,2.76941982332618e-08,TRUE
"C7","Tryptophan","KO",-0.624338710980688,0.899822427803953,40,-2.38795826195783,1.13928083999645,-0.693846576489995,0.310229091728514,0.394925030633044,FALSE
"C7","Tyrosine","KO",-0.86102273487429,0.918798928650627,40,-2.66183554406351,0.939790074314926,-0.937117695749614,0.254007731174311,0.394925030633044,FALSE
"C7","valine","KO",-1.72515628097027,0.904540192121067,40,-3.4980224800965,0.0477099181559615,-1.90721904454564,0.0665735672072614,0.394925030633044,FALSE
