"contrast","metabolite","genotype","beta","se","numDF","denDF","F.value","p.value","lowerCL","upperCL","p.adjustBH","sig"
"Yellow (C8)","3-HYDROXYBUTYRIC","WT",0.531867997580179,0.408213929198246,1,39,1.6975871526368,0.200244593636003,-0.268216601635967,1.33195259679632,0.415148505101778,FALSE
"Yellow (C8)","arginine","WT",-0.609638798771419,0.384230160981055,1,39,2.51745833689194,0.120667740401253,-1.36271607606831,0.143438478525476,0.301669351003131,FALSE
"Yellow (C8)","CITRIC","WT",0.088887479053568,0.420634635444724,1,39,0.0446551053768584,0.833739876066006,-0.735541257068226,0.913316215175362,0.92637764007334,FALSE
"Yellow (C8)","FUMARIC","WT",0.49706836578457,0.387870618426277,1,39,1.64232265738223,0.207574252550889,-0.263144076992212,1.25728080856135,0.415148505101778,FALSE
"Yellow (C8)","glutamine","WT",-0.353558365766359,0.372937494016693,1,39,0.898773252208192,0.348948589830946,-1.0845024225237,0.377385690990981,0.498497985472781,FALSE
"Yellow (C8)","isoleucine","WT",-0.0842644248096477,0.393500477126087,1,39,0.0458561927999042,0.831553115463469,-0.855511187876106,0.686982338256811,0.92637764007334,FALSE
"Yellow (C8)","LACTIC","WT",-0.57523745902588,0.381565838299758,1,39,2.27276926602566,0.139722980858867,-1.32309275982424,0.172617841772478,0.322437648135848,FALSE
"Yellow (C8)","LC even AC total","WT",-0.100325059194382,0.40084927052934,1,39,0.0626407074790835,0.803683637187713,-0.885975192661041,0.685325074272277,0.92637764007334,FALSE
"Yellow (C8)","LC odd AC total","WT",-2.53817857122248,0.390429940379172,1,39,42.262785498577,1.04510814551289e-07,-3.30340719285178,-1.77294994959319,1.04510814551289e-06,TRUE
"Yellow (C8)","leucine","WT",0.474156779616536,0.383277707351148,1,39,1.53044176585178,0.223443612997494,-0.277053722868797,1.22536728210187,0.418956774370301,FALSE
"Yellow (C8)","MALIC","WT",-0.899927007382534,0.383446509370291,1,39,5.50814029874664,0.0241001866143089,-1.6514683557459,-0.148385659019163,0.0723005598429266,FALSE
"Yellow (C8)","MCAC total","WT",-0.00882457973281999,0.386526021658141,1,39,0.000521231422558652,0.981901898140996,-0.766401661270325,0.748752501804685,0.983835673445528,FALSE
"Yellow (C8)","METHYLSUCCINIC","WT",2.05351620661611,0.375446344273771,1,39,29.9157923126701,2.82150910936739e-06,1.31765489371229,2.78937751951993,1.69290546562043e-05,TRUE
"Yellow (C8)","SUCCINIC-2","WT",0.417503877125491,0.380510989631295,1,39,1.20388947394431,0.279274307202093,-0.32828395827354,1.16329171252452,0.465457178670156,FALSE
"Yellow (C8)","valine","WT",1.63174641967259,0.382558062434365,1,39,18.1932638743069,0.000122877445816608,0.88194639530581,2.38154644403937,0.000526617624928319,TRUE
"Yellow (C8)","3-HYDROXYBUTYRIC","KO",0.222547593614687,0.44172530338899,1,39,0.253829006499612,0.617226018543948,-0.643218092087762,1.08831327931714,0.771532523179935,FALSE
"Yellow (C8)","arginine","KO",-0.483885238805822,0.42980539911235,1,39,1.26747970598475,0.267120519666205,-1.32628834142689,0.358517863815247,0.465457178670156,FALSE
"Yellow (C8)","CITRIC","KO",0.0594224561465713,0.444426728506562,1,39,0.0178772559180558,0.894322755481652,-0.811637925493251,0.930482837786393,0.958202952301769,FALSE
"Yellow (C8)","FUMARIC","KO",0.467898987478392,0.443579117023871,1,39,1.11265884995895,0.297995821694424,-0.401500106182472,1.33729808113926,0.47051971846488,FALSE
"Yellow (C8)","glutamine","KO",0.747961858750263,0.428211154489932,1,39,3.05100523122255,0.0885595471773563,-0.0913165818283199,1.58724029932885,0.241526037756426,FALSE
"Yellow (C8)","isoleucine","KO",-0.36395563154032,0.442154418964547,1,39,0.677561854117273,0.415432651752178,-1.23056236831607,0.502651105235425,0.566499070571152,FALSE
"Yellow (C8)","LACTIC","KO",-1.46234404746165,0.441977743749311,1,39,10.9470807638296,0.00202322683411654,-2.32860450717857,-0.596083587744726,0.00758710062793701,TRUE
"Yellow (C8)","LC even AC total","KO",0.427063052240105,0.420815469979391,1,39,1.02991315514435,0.316433949517858,-0.397720113056798,1.25184621753701,0.474650924276788,FALSE
"Yellow (C8)","LC odd AC total","KO",-7.07213727987529,0.445903680638883,1,39,251.547062619405,1.33762132827441e-18,-7.94609243450135,-6.19818212524923,4.01286398482324e-17,TRUE
"Yellow (C8)","leucine","KO",-0.00885489394098592,0.434261481547919,1,39,0.000415780491462551,0.983835673445528,-0.859991757647912,0.84228196976594,0.983835673445528,FALSE
"Yellow (C8)","MALIC","KO",-2.70713694933075,0.445700428661352,1,39,36.8921825965052,4.08873542508605e-07,-3.58069373740107,-1.83358016126044,3.06655156881453e-06,TRUE
"Yellow (C8)","MCAC total","KO",0.268882428906746,0.437948957686114,1,39,0.376944882062945,0.54280780215937,-0.589481755224894,1.12724661303839,0.708010176729613,FALSE
"Yellow (C8)","METHYLSUCCINIC","KO",3.20616699837093,0.44639439580801,1,39,51.5863513451063,1.20569840009312e-08,2.33125005968672,4.08108393705515,1.80854760013968e-07,TRUE
"Yellow (C8)","SUCCINIC-2","KO",-1.32160057554744,0.446185036847542,1,39,8.7734505907721,0.00518330939946663,-2.1961071782093,-0.447093972885579,0.0172776979982221,TRUE
"Yellow (C8)","valine","KO",1.92534321925365,0.439891970176985,1,39,19.1568567085537,8.73644182845253e-05,1.06317080061839,2.7875156378889,0.000436822091422626,TRUE
